UNIQUE_ID,reef_NAME,longitude,latitude,source,surveyDate,bleachCat,method,depth,year
16068100104.0,Thetford Reef,146.184696849,-16.8030222375,AIMSa2017,2017-03-09,4,aerial,,2017
16071100104.0,Moore Reef,146.215742882,-16.8729546301,AIMSa2017,2017-03-09,4,aerial,,2017
16073100104.0,Elford Reef,146.248566317,-16.9151448611,AIMSa2017,2017-03-09,4,aerial,,2017
16074100104.0,Briggs Reef,146.207994474,-16.9384543541,AIMSa2017,2017-03-09,4,aerial,,2017
17001101104.0,Sudbury Reef (No 1),146.216862005,-17.0136187057,AIMSa2017,2017-03-09,3,aerial,,2017
